ref_clip,target_clip,sub,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
SP,CI,sub-01,1,0.4034334763948498,0.231943405389088,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
SP,CI,sub-02,1,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
SP,CI,sub-19,1,0.13304721030042918,0.03124593575237352,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
SP,CI,sub-25,1,0.34334763948497854,0.175513170343759,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
SP,CI,sub-30,1,0.4721030042918455,0.30280659167407,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
SP,CI,sub-43,1,0.4334763948497854,0.26216237053789415,0.24892703862660945,0.09922864769995429,0.24892703862660945,0.09922864769995429
SP,MO,sub-01,1,0.4721030042918455,0.30280659167407,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817
SP,MO,sub-02,1,0.3133047210300429,0.1494852590535499,0.3133047210300429,0.1494852590535499,0.3133047210300429,0.1494852590535499
SP,MO,sub-19,1,0.0944206008583691,0.016292182108895062,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593
SP,MO,sub-25,1,0.02575107296137339,0.001292940901826279,0.3776824034334764,0.2070782025055821,0.3776824034334764,0.2070782025055821
SP,MO,sub-30,1,0.06866952789699571,0.008824999569091817,0.6652360515021459,0.5315030308393434,0.6652360515021459,0.5315030308393434
SP,MO,sub-43,1,0.6781115879828327,0.5480390327431589,0.06437768240343347,0.007787622871383081,0.06437768240343347,0.007787622871383081
CI,SP,sub-01,1,0.3261802575107296,0.16045112990819063,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
CI,SP,sub-02,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
CI,SP,sub-19,1,0.3562231759656652,0.18712989623512793,0.3562231759656652,0.18712989623512793,0.3562231759656652,0.18712989623512793
CI,SP,sub-25,1,0.39914163090128757,0.22773111456331133,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
CI,SP,sub-30,1,0.5107296137339056,0.34532286383144756,0.5107296137339056,0.34532286383144756,0.5107296137339056,0.34532286383144756
CI,SP,sub-43,1,0.44206008583690987,0.27102493357858165,0.13304721030042918,0.03124593575237352,0.13304721030042918,0.03124593575237352
CI,MO,sub-01,1,0.2317596566523605,0.08721269309566179,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817
CI,MO,sub-02,1,0.21888412017167383,0.07861331076588285,0.19742489270386265,0.06510068146507299,0.19742489270386265,0.06510068146507299
CI,MO,sub-19,1,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593
CI,MO,sub-25,1,0.02575107296137339,0.001292940901826279,0.3776824034334764,0.2070782025055821,0.3776824034334764,0.2070782025055821
CI,MO,sub-30,1,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817
CI,MO,sub-43,1,0.6781115879828327,0.5480390327431589,0.1459227467811159,0.037163845622156855,0.1459227467811159,0.037163845622156855
MO,SP,sub-01,1,0.4291845493562232,0.25776849811184577,0.3261802575107296,0.16045112990819063,0.3261802575107296,0.16045112990819063
MO,SP,sub-02,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
MO,SP,sub-19,1,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134
MO,SP,sub-25,1,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
MO,SP,sub-30,1,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746
MO,SP,sub-43,1,0.44206008583690987,0.27102493357858165,0.44206008583690987,0.27102493357858165,0.44206008583690987,0.27102493357858165
MO,CI,sub-01,1,0.4034334763948498,0.231943405389088,0.2017167381974249,0.06771919068056406,0.2017167381974249,0.06771919068056406
MO,CI,sub-02,1,0.2145922746781116,0.07582765889685923,0.3218884120171674,0.15676383702134775,0.3218884120171674,0.15676383702134775
MO,CI,sub-19,1,0.10300429184549356,0.01923815567542292,0.10300429184549356,0.01923815567542292,0.10300429184549356,0.01923815567542292
MO,CI,sub-25,1,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
MO,CI,sub-30,1,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
MO,CI,sub-43,1,0.4334763948497854,0.26216237053789415,0.4334763948497854,0.26216237053789415,0.4334763948497854,0.26216237053789415
SP,CI,sub-01,2,0.40772532188841204,0.24105975231926416,0.017167381974248927,0.016986672690309464,0.41201716738197425,0.4069136253411662
SP,CI,sub-02,2,0.33476394849785407,0.1739033498690151,0.48068669527896996,0.450534082613768,0.5708154506437768,0.5011319226808574
SP,CI,sub-19,2,0.0,0.0,0.12875536480686695,0.10050522782997748,0.33476394849785407,0.33217384523563165
SP,CI,sub-25,2,0.1759656652360515,0.12943715398454378,0.017167381974248927,0.01881356928684814,0.5793991416309013,0.5490866296879287
SP,CI,sub-30,2,0.4721030042918455,0.30819780695610094,0.27896995708154504,0.15690581595755468,0.12446351931330472,0.11283677713375515
SP,CI,sub-43,2,0.06437768240343347,0.04267320662170447,0.02575107296137339,0.03473400538975945,0.0,0.0
SP,MO,sub-01,2,0.4721030042918455,0.30280659167407,0.017167381974248927,0.020638382701282862,0.5150214592274678,0.4838609111823338
SP,MO,sub-02,2,0.3133047210300429,0.171964245377392,0.030042918454935622,0.03904991475101417,0.4334763948497854,0.40851801488964734
SP,MO,sub-19,2,0.40772532188841204,0.4097759042803231,0.2532188841201717,0.2486465792395793,0.3948497854077253,0.43068816620849937
SP,MO,sub-25,2,0.02575107296137339,0.001303851795512577,0.030042918454935622,0.04940244305051172,0.7854077253218884,0.7737014416198965
SP,MO,sub-30,2,0.06866952789699571,0.00886058424477364,0.6394849785407726,0.6156532402100605,0.3218884120171674,0.3832182577146244
SP,MO,sub-43,2,0.6266094420600858,0.5224500888944251,0.0,0.0,0.6523605150214592,0.6844660896945365
CI,SP,sub-01,2,0.1888412017167382,0.13634743806262686,0.008583690987124463,0.009644596614746589,0.2532188841201717,0.2542797897477938
CI,SP,sub-02,2,0.6223175965665236,0.5569985621189697,0.6995708154506438,0.6139501381406566,0.5665236051502146,0.5087150740124375
CI,SP,sub-19,2,0.017167381974248927,0.015832141154029568,0.0,0.0,0.34334763948497854,0.349666921193291
CI,SP,sub-25,2,0.2575107296137339,0.29842023559492287,0.012875536480686695,0.017353983952229896,0.8068669527896996,0.768988004363899
CI,SP,sub-30,2,0.5107296137339056,0.34532286383144756,0.3562231759656652,0.26465366055943196,0.1459227467811159,0.18327535577140275
CI,SP,sub-43,2,0.4034334763948498,0.31849198752585917,0.27467811158798283,0.13733905579399142,0.07296137339055794,0.057065037966325526
CI,MO,sub-01,2,0.463519313304721,0.3540772532188841,0.06866952789699571,0.05782697086062797,0.30042918454935624,0.2905281661818107
CI,MO,sub-02,2,0.12875536480686695,0.06580829756795423,0.4592274678111588,0.41209481356630345,0.4291845493562232,0.36057206975314154
CI,MO,sub-19,2,0.06437768240343347,0.040899325840546216,0.12017167381974249,0.1865602208949848,0.592274678111588,0.6254882558299939
CI,MO,sub-25,2,0.12875536480686695,0.06415979178452418,0.0,0.0,0.008583690987124463,0.009477670904106743
CI,MO,sub-30,2,0.06866952789699571,0.00886058424477364,0.51931330472103,0.5738786040450289,0.10300429184549356,0.03582329811636985
CI,MO,sub-43,2,0.0,0.0,0.0,0.0,0.0,0.0
MO,SP,sub-01,2,0.48497854077253216,0.3671738847704513,0.060085836909871244,0.016022889842632337,0.4206008583690987,0.4248493518879785
MO,SP,sub-02,2,0.11158798283261803,0.054398334893026555,0.0,0.0,0.7167381974248928,0.7251163057366576
MO,SP,sub-19,2,0.16738197424892703,0.05751451097540224,0.351931330472103,0.3619125205319769,0.16738197424892703,0.09460720283635006
MO,SP,sub-25,2,0.0,0.0,0.18025751072961374,0.09176746000780336,0.51931330472103,0.481901368531865
MO,SP,sub-30,2,0.24892703862660945,0.10093948645340177,0.2575107296137339,0.13520230365723926,0.31759656652360513,0.1876490224129709
MO,SP,sub-43,2,0.44206008583690987,0.27102493357858165,0.13304721030042918,0.036021515452517944,0.5793991416309013,0.4806221773401778
MO,CI,sub-01,2,0.030042918454935622,0.023731380964402932,0.3090128755364807,0.3059200217998501,0.48497854077253216,0.4706058046449335
MO,CI,sub-02,2,0.44206008583690987,0.3954483849107749,0.06866952789699571,0.09952105492318218,0.41630901287553645,0.3757353353974585
