ref_clip,target_clip,sub,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
SP,CI,sub-01,1,0.4034334763948498,0.231943405389088,0.27896995708154504,0.1645700754772828,0.4034334763948498,0.231943405389088
SP,CI,sub-02,1,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
SP,CI,sub-19,1,0.34334763948497854,0.175513170343759,0.31759656652360513,0.19240436543055933,0.2918454935622318,0.2211320562239046
SP,CI,sub-25,1,0.34334763948497854,0.175513170343759,0.30042918454935624,0.21657789958115722,0.27896995708154504,0.21352145152985733
SP,CI,sub-30,1,0.4721030042918455,0.30280659167407,0.18454935622317598,0.057504509547801216,0.2145922746781116,0.13140465214857203
SP,CI,sub-43,1,0.3218884120171674,0.246873413632378,0.4334763948497854,0.26216237053789415,0.4334763948497854,0.26216237053789415
SP,MO,sub-01,1,0.4721030042918455,0.30280659167407,0.12446351931330472,0.0742793416917306,0.4721030042918455,0.30280659167407
SP,MO,sub-02,1,0.3133047210300429,0.1494852590535499,0.3133047210300429,0.1494852590535499,0.3133047210300429,0.1494852590535499
SP,MO,sub-19,1,0.22746781115879827,0.08430625168822593,0.21888412017167383,0.10175852178936942,0.1459227467811159,0.0695698473651941
SP,MO,sub-25,1,0.02575107296137339,0.001292940901826279,0.296137339055794,0.22137249959186492,0.20600858369098712,0.16862477624172367
SP,MO,sub-30,1,0.06866952789699571,0.008824999569091817,0.6652360515021459,0.5315030308393434,0.51931330472103,0.5109830292684806
SP,MO,sub-43,1,0.27467811158798283,0.3129067732425042,0.6781115879828327,0.5480390327431589,0.6781115879828327,0.5480390327431589
CI,SP,sub-01,1,0.4291845493562232,0.25776849811184577,0.18454935622317598,0.09064083541601207,0.30042918454935624,0.23516467968668472
CI,SP,sub-02,1,0.4978540772532189,0.41042759497695114,0.1759656652360515,0.05266125747940228,0.33905579399141633,0.3190763249571361
CI,SP,sub-19,1,0.2317596566523605,0.08721269309566179,0.33905579399141633,0.24597596894729282,0.2918454935622318,0.2199796408557735
CI,SP,sub-25,1,0.2532188841201717,0.1808478584566874,0.3133047210300429,0.25843369536655864,0.3948497854077253,0.3360996545587773
CI,SP,sub-30,1,0.5107296137339056,0.34532286383144756,0.5107296137339056,0.34532286383144756,0.33047210300429186,0.2907295446776627
CI,SP,sub-43,1,0.44206008583690987,0.27102493357858165,0.2145922746781116,0.18189414471478552,0.20600858369098712,0.13139296956514832
CI,MO,sub-01,1,0.4721030042918455,0.30280659167407,0.2145922746781116,0.2098079223246324,0.30042918454935624,0.25797025459451345
CI,MO,sub-02,1,0.2832618025751073,0.16446672755783842,0.19742489270386265,0.06510068146507299,0.21030042918454936,0.1408246553770059
CI,MO,sub-19,1,0.2017167381974249,0.06771919068056406,0.20600858369098712,0.09568733975252215,0.2145922746781116,0.12790473164297828
CI,MO,sub-25,1,0.0944206008583691,0.05008196077504817,0.1759656652360515,0.15172179493599544,0.19742489270386265,0.1591472904777626
CI,MO,sub-30,1,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817,0.07725321888412018,0.01810124874360051
CI,MO,sub-43,1,0.6781115879828327,0.5480390327431589,0.33047210300429186,0.3416352889692527,0.11587982832618025,0.04597147063092203
MO,SP,sub-01,1,0.44206008583690987,0.31463327957136217,0.3133047210300429,0.18903322169477527,0.4291845493562232,0.25776849811184577
MO,SP,sub-02,1,0.13304721030042918,0.05475002899895604,0.17167381974248927,0.07099977973905436,0.5665236051502146,0.4097595390675525
MO,SP,sub-19,1,0.16738197424892703,0.047999242615501134,0.30472103004291845,0.20884836740821483,0.2575107296137339,0.18786117181147535
MO,SP,sub-25,1,0.33905579399141633,0.17170133157257622,0.10300429184549356,0.046617118531700336,0.15021459227467812,0.06677655731401586
MO,SP,sub-30,1,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746,0.18025751072961374,0.0987658232921501
MO,SP,sub-43,1,0.44206008583690987,0.27102493357858165,0.31759656652360513,0.2654245673465677,0.44206008583690987,0.27102493357858165
MO,CI,sub-01,1,0.37339055793991416,0.2591965969132196,0.2317596566523605,0.15587886746524887,0.4034334763948498,0.231943405389088
MO,CI,sub-02,1,0.14163090128755365,0.08057456085427078,0.30042918454935624,0.16915749154139675,0.34334763948497854,0.175513170343759
MO,CI,sub-19,1,0.10300429184549356,0.01923815567542292,0.3090128755364807,0.18230891991137416,0.2532188841201717,0.1687300427440606
MO,CI,sub-25,1,0.26609442060085836,0.11184985815086927,0.20600858369098712,0.13000533020961028,0.21888412017167383,0.14183043163939776
MO,CI,sub-30,1,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216,0.2145922746781116,0.13140465214857203
MO,CI,sub-43,1,0.4334763948497854,0.26216237053789415,0.3218884120171674,0.246873413632378,0.4334763948497854,0.26216237053789415
