ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-01,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
sub-01,sub-02,CI,1,0.34334763948497854,0.175513170343759,0.3218884120171674,0.15676383702134775,0.3218884120171674,0.15676383702134775
sub-01,sub-02,MO,1,0.21888412017167383,0.07861331076588285,0.3133047210300429,0.1494852590535499,0.3133047210300429,0.1494852590535499
sub-01,sub-19,SP,1,0.2446351931330472,0.09616693799023235,0.3562231759656652,0.18712989623512793,0.3562231759656652,0.18712989623512793
sub-01,sub-19,CI,1,0.4206008583690987,0.24905670163245722,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
sub-01,sub-19,MO,1,0.0944206008583691,0.016292182108895062,0.2017167381974249,0.06771919068056406,0.2017167381974249,0.06771919068056406
sub-01,sub-25,SP,1,0.39914163090128757,0.22773111456331133,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
sub-01,sub-25,CI,1,0.08583690987124463,0.013571052944070298,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
sub-01,sub-25,MO,1,0.02575107296137339,0.001292940901826279,0.4034334763948498,0.231943405389088,0.4034334763948498,0.231943405389088
sub-01,sub-30,SP,1,0.5107296137339056,0.34532286383144756,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746
sub-01,sub-30,CI,1,0.0944206008583691,0.016292182108895062,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-01,sub-30,MO,1,0.06866952789699571,0.008824999569091817,0.060085836909871244,0.006811349933102812,0.060085836909871244,0.006811349933102812
sub-01,sub-43,SP,1,0.13304721030042918,0.03124593575237352,0.14163090128755365,0.035141501823227596,0.14163090128755365,0.035141501823227596
sub-01,sub-43,CI,1,0.24892703862660945,0.09922864769995429,0.08583690987124463,0.013571052944070298,0.08583690987124463,0.013571052944070298
sub-01,sub-43,MO,1,0.1459227467811159,0.037163845622156855,0.06437768240343347,0.007787622871383081,0.06437768240343347,0.007787622871383081
sub-02,sub-01,SP,1,0.3261802575107296,0.16045112990819063,0.3261802575107296,0.16045112990819063,0.3261802575107296,0.16045112990819063
sub-02,sub-01,CI,1,0.4034334763948498,0.231943405389088,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
sub-02,sub-01,MO,1,0.4721030042918455,0.30280659167407,0.06866952789699571,0.008824999569091817,0.06866952789699571,0.008824999569091817
sub-02,sub-19,SP,1,0.2317596566523605,0.08721269309566179,0.2317596566523605,0.08721269309566179,0.2317596566523605,0.08721269309566179
sub-02,sub-19,CI,1,0.13304721030042918,0.03124593575237352,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
sub-02,sub-19,MO,1,0.0944206008583691,0.016292182108895062,0.22746781115879827,0.08430625168822593,0.22746781115879827,0.08430625168822593
sub-02,sub-25,SP,1,0.18025751072961374,0.05506047600468201,0.18025751072961374,0.05506047600468201,0.18025751072961374,0.05506047600468201
sub-02,sub-25,CI,1,0.34334763948497854,0.175513170343759,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
sub-02,sub-25,MO,1,0.02575107296137339,0.001292940901826279,0.3776824034334764,0.2070782025055821,0.3776824034334764,0.2070782025055821
sub-02,sub-30,SP,1,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134,0.16738197424892703,0.047999242615501134
sub-02,sub-30,CI,1,0.4721030042918455,0.30280659167407,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-02,sub-30,MO,1,0.06866952789699571,0.008824999569091817,0.6652360515021459,0.5315030308393434,0.6652360515021459,0.5315030308393434
