ref_sub,target_sub,clip,dim,test_acc_random,test_f1_random,test_acc_not_align,test_f1_not_align,test_acc_align,test_f1_align
sub-01,sub-02,SP,1,0.12875536480686695,0.029373847484456338,0.1759656652360515,0.05266125747940228,0.1759656652360515,0.05266125747940228
sub-01,sub-02,CI,1,0.2145922746781116,0.07582765889685923,0.2575107296137339,0.17572072120043877,0.2575107296137339,0.17572072120043877
sub-01,sub-02,MO,1,0.21888412017167383,0.07861331076588285,0.2446351931330472,0.16071196328707057,0.2875536480686695,0.19167949188278982
sub-01,sub-19,SP,1,0.2446351931330472,0.09616693799023235,0.3562231759656652,0.18712989623512793,0.3562231759656652,0.18712989623512793
sub-01,sub-19,CI,1,0.13304721030042918,0.03124593575237352,0.26609442060085836,0.17639000024247714,0.26609442060085836,0.17639000024247714
sub-01,sub-19,MO,1,0.0944206008583691,0.016292182108895062,0.15021459227467812,0.06758082075921577,0.15021459227467812,0.06758082075921577
sub-01,sub-25,SP,1,0.39914163090128757,0.22773111456331133,0.33905579399141633,0.17170133157257622,0.33905579399141633,0.17170133157257622
sub-01,sub-25,CI,1,0.34334763948497854,0.175513170343759,0.20600858369098712,0.10354031569368187,0.4034334763948498,0.28434831950781403
sub-01,sub-25,MO,1,0.02575107296137339,0.001292940901826279,0.31759656652360513,0.2236260468405909,0.31759656652360513,0.2236260468405909
sub-01,sub-30,SP,1,0.5107296137339056,0.34532286383144756,0.2532188841201717,0.10232817919924746,0.2532188841201717,0.10232817919924746
sub-01,sub-30,CI,1,0.4721030042918455,0.30280659167407,0.22317596566523606,0.16744684551706632,0.4334763948497854,0.3371034446089402
sub-01,sub-30,MO,1,0.06866952789699571,0.008824999569091817,0.07296137339055794,0.016463800745796103,0.07296137339055794,0.016463800745796103
sub-01,sub-43,SP,1,0.13304721030042918,0.03124593575237352,0.14163090128755365,0.035141501823227596,0.14163090128755365,0.035141501823227596
sub-01,sub-43,CI,1,0.2317596566523605,0.08721269309566179,0.13304721030042918,0.07984380239343,0.13304721030042918,0.07984380239343
sub-01,sub-43,MO,1,0.1459227467811159,0.037163845622156855,0.04291845493562232,0.014496900333810204,0.04291845493562232,0.014496900333810204
sub-02,sub-01,SP,1,0.12017167381974249,0.06774264901303961,0.36909871244635195,0.2677151175005252,0.38626609442060084,0.2815231760900305
sub-02,sub-01,CI,1,0.2875536480686695,0.1661809599723698,0.2918454935622318,0.13186374459954658,0.2918454935622318,0.13186374459954658
sub-02,sub-01,MO,1,0.2918454935622318,0.2168645343401784,0.463519313304721,0.3733460059105692,0.24034334763948498,0.19429979302279715
sub-02,sub-19,SP,1,0.34763948497854075,0.24703796377616125,0.22317596566523606,0.13894383280462774,0.2532188841201717,0.1591841062820451
sub-02,sub-19,CI,1,0.38626609442060084,0.33206954244562453,0.34334763948497854,0.175513170343759,0.34334763948497854,0.175513170343759
sub-02,sub-19,MO,1,0.38197424892703863,0.3004706516555742,0.1459227467811159,0.07680537413696585,0.15021459227467812,0.06758082075921577
sub-02,sub-25,SP,1,0.2575107296137339,0.14958062401615307,0.2317596566523605,0.14229282355157002,0.34763948497854075,0.2248380596760055
sub-02,sub-25,CI,1,0.19742489270386265,0.09033463725195193,0.26609442060085836,0.11184985815086927,0.26609442060085836,0.11184985815086927
sub-02,sub-25,MO,1,0.11158798283261803,0.0460684332795212,0.11158798283261803,0.10651424486032585,0.31759656652360513,0.2236260468405909
sub-02,sub-30,SP,1,0.24034334763948498,0.13897054500558526,0.2875536480686695,0.2654999784329372,0.2875536480686695,0.2654999784329372
sub-02,sub-30,CI,1,0.1888412017167382,0.08273957801854796,0.18454935622317598,0.057504509547801216,0.18454935622317598,0.057504509547801216
sub-02,sub-30,MO,1,0.11587982832618025,0.05035501671248591,0.055793991416309016,0.01124743098992026,0.055793991416309016,0.01124743098992026
sub-02,sub-43,SP,1,0.12017167381974249,0.07964274731592529,0.2575107296137339,0.13924931519002784,0.15879828326180256,0.08926520604941388
sub-02,sub-43,CI,1,0.14163090128755365,0.09018205445136206,0.08583690987124463,0.013571052944070298,0.08583690987124463,0.013571052944070298
